DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2017-09-25 18:00:00,156,0,991.2,6.1,34,27.2,2.9
2017-09-25 15:00:00,141,0,994.3,7.25,33.2,28.8,3.6
2017-09-25 12:00:00,117,0,996.7,3.55,29.5,38.4,3.9
2017-09-25 09:00:00,75,0,994.9,0.1,23.8,65.6,2.5
2017-09-25 06:00:00,69,0,993.3,0,23.3,76.8,2.8
2017-09-25 03:00:00,66,0,993.6,0,24.2,73.6,5.6
2017-09-25 00:00:00,66,0,992.5,0,25.8,62.4,3.8
2017-09-24 21:00:00,180,0,990.2,1.72,32.3,25.6,1.8
2017-09-24 18:00:00,180,0,990,6.49,35.6,20.8,2.5
2017-09-24 15:00:00,174,0,993,7.63,34,28.8,2.4
2017-09-24 12:00:00,138,0,995.4,3.8,30.7,36.8,2.2
2017-09-24 09:00:00,84,0,993.3,0.05,23.8,64,2.5
2017-09-24 06:00:00,78,28.8,993.1,0,24.2,75.2,3.2
2017-09-24 03:00:00,69,0,993.7,0,25.3,68.8,5.1
2017-09-24 00:00:00,84,0,993.8,0,28.2,51.2,0.9
2017-09-23 21:00:00,183,0,992.2,0.84,31.3,35.2,1.8
2017-09-23 18:00:00,192,0,992.2,5.94,33.7,30.4,2.3
2017-09-23 15:00:00,186,0,995,3.11,32.2,40,2.1
2017-09-23 12:00:00,210,0,996.8,3.14,27.4,57.6,2.7
2017-09-23 09:00:00,120,0,995.4,0.02,23,81.6,2.7
2017-09-23 06:00:00,69,0,994.6,0,24.6,75.2,5
2017-09-23 03:00:00,66,0,995.1,0,25.2,73.6,6
2017-09-23 00:00:00,63,0,994.7,0,27,57.6,6.2
2017-09-22 21:00:00,93,0,992.2,1.28,32.5,27.2,2.4
2017-09-22 18:00:00,117,0,991.9,4.34,33.8,25.6,3.2
2017-09-22 15:00:00,123,0,994.5,6.58,33.2,27.2,3.2
2017-09-22 12:00:00,105,0,996.7,3.77,30.6,36.8,3.6
2017-09-22 09:00:00,69,0,995.3,0.06,23.4,73.6,3.2
2017-09-22 06:00:00,66,0,994.3,0,23.8,75.2,4.4
2017-09-22 03:00:00,66,0,994.8,0,24.9,72,5.7
2017-09-22 00:00:00,87,0,995.3,0,27.1,59.2,4.9
2017-09-21 21:00:00,114,0,993,1.57,32.6,25.6,5.4
2017-09-21 18:00:00,126,0,992.3,6.7,35,22.4,3.9
2017-09-21 15:00:00,138,0,995,7.61,33.8,25.6,4
