,TestEMA01,TestEMA03,TestEMA05,TestEMA07,PredEMA01,PredEMA03,PredEMA05,PredEMA07,TestEMA005,PredEMA005
49,8.09000014264658,8.760000107125945,9.3699997222319,9.869999985046684,8.190394,7.9575534,7.8677626,7.995574,7.670000614930742,7.67663
50,8.279999953205884,9.130000333369548,9.689999748529472,9.960000337280343,8.194222,8.086687,7.947502,8.49394,7.789999999256432,7.6856475
51,8.510000581907478,9.5699995307244,10.140000504584654,10.41000010467321,8.200832,8.15786,8.056579,8.698482,7.930000173251345,7.6926584
52,8.479999817351999,9.160000075148051,9.170000116695473,8.859999872066076,8.20625,8.269226,8.3617735,8.776568,7.940000270658754,7.7008514
53,8.740000003018976,9.739999772956953,10.140000504584654,10.430000330634426,8.210608,8.354412,8.33221,8.572515,8.100000639468485,7.7096424
54,8.479999817351999,8.649999348450404,8.119999886591723,7.399999991692602,8.216429,8.485461,8.375505,8.754893,8.000000260248802,7.7295556
55,8.600000460393725,8.960000091137,8.90999997205883,9.010000237591573,8.220494,8.546226,8.314576,8.577747,8.090000542061077,7.7445498
56,8.750000056605785,9.310000702714229,9.50000045198951,9.77000084901604,8.226106,8.590447,8.3119,8.597763,8.18999973157195,7.7594028
57,8.750000056605785,9.12000020625742,9.100000583477367,9.02000035057218,8.232299,8.56611,8.359943,8.700522,8.210000521241172,7.7743163
58,8.960000578133759,9.660000035175685,10.000000123269867,10.339999978400764,8.237004,8.642475,8.31601,8.74561,8.350000695236087,7.7851105
59,9.040000403033195,9.670000162287812,9.85000074783719,9.8900002110079,8.24177,8.693898,8.424646,8.909353,8.410000089971728,7.796926
60,9.080000013585389,9.62000016628505,9.680000754411582,9.619999818898732,8.247612,8.579145,8.52528,8.817028,8.470000674416182,7.8118076
61,9.069999959998578,9.430000309386129,9.34000011012108,9.18999961287527,8.251554,8.54171,8.52406,8.817068,8.490000274376595,7.8281274
62,9.14000033510625,9.510000047167392,9.520000412543151,9.550000357218098,8.257627,8.557641,8.461576,8.778906,8.560000956228457,7.846486
63,8.590000406806913,7.770000314182812,6.6100005637541885,5.449999892003831,8.263437,8.601562,8.451274,8.789291,8.310000900460857,7.8657913
64,8.2500003962405,7.000000119917104,5.900000320501652,5.280000297404835,8.267005,8.518267,8.167601,8.0229,8.160000034204128,7.8803663
65,7.860000117740034,6.190000056760763,5.09999992603808,4.590000144548719,8.26845,8.211119,7.6893363,7.6350403,7.960000465473571,7.8920074
66,7.890000278500466,6.790000008793921,6.650000484861474,7.120000151194637,8.268694,7.7758617,7.2645574,7.1608405,7.980000065433985,7.900077
67,7.730000024906546,6.640000020785632,6.47999983399658,6.5500003572180985,8.268613,7.4663806,7.290929,7.3814645,7.890000378476115,7.907022
68,7.480000496621427,6.210000310985023,5.8400004388407245,5.600000257529326,8.2674055,7.03416,7.2120795,7.3698506,7.760000301888611,7.9137974
